Session,Subject,GovStructure,Game,interactionDraw,interaction,Period,Partnership,Profit,Matchpay,Finished,Choice,Terminator,PartnerChoice.Poc,PTc,gplay,simplay,Age,Gender
1,12,2-player,CG,1,4,6,2,6.5,39,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,12,10,6.5,78,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,6,10,6,5,63.5,0,nC,0,C,NA,4,2,24,Female
1,12,2-player,CG,1,7,11,10,6.5,71.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,34,10,6.5,208,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,1,1,5,6.5,6.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,4,9,2,6.5,58.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,6,10,6.5,39,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,14,10,2,85,0,nC,0,nC,NA,6,4,24,Female
1,12,2-player,CG,1,6,4,6,6.5,26,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,2,13,10,6.5,84.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,18,10,6.5,104,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,13,10,5,83,0,nC,0,C,NA,4,2,24,Female
1,12,2-player,CG,1,7,17,10,6.5,97.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,22,10,6.5,130,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,35,10,6.5,214.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,21,10,6.5,123.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,3,1,2,6.5,6.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,2,10,10,6.5,65,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,15,10,-0.5,84.5,0,C,0,nC,NA,2,2,24,Female
1,12,2-player,CG,1,6,5,6,6.5,32.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,1,5,5,6.5,32.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,4,8,2,6.5,52,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,37,10,6.5,227.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,5,1,11,6.5,6.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,23,10,6.5,136.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,4,11,2,6.5,71.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,2,3,10,6.5,19.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,3,2,2,6.5,13,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,1,2,5,6.5,13,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,4,10,2,6.5,65,0,C,0,C,NA,1,1,24,Female
